# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-13 11:53:53 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01184000 CONNECTICUT RIVER AT THOMPSONVILLE, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 01184000
#            TS   parameter     statistic     Description
#         64671       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64671_00060_00003	64671_00060_00003_cd
USGS	01184000	2010-04-05	62900	A
USGS	01184000	2010-04-06	58800	A
USGS	01184000	2010-04-07	46600	A
USGS	01184000	2010-04-08	41500	A
USGS	01184000	2010-04-09	40000	A
USGS	01184000	2010-04-10	37800	A
USGS	01184000	2010-04-11	35800	A
USGS	01184000	2010-04-12	34900	A
USGS	01184000	2010-04-13	31100	A
USGS	01184000	2010-04-14	26500	A
USGS	01184000	2010-04-15	23100	A
USGS	01184000	2010-04-16	20900	A
USGS	01184000	2010-04-17	21000	A
USGS	01184000	2010-04-18	31300	A
USGS	01184000	2010-04-19	33900	A
USGS	01184000	2010-04-20	30000	A
USGS	01184000	2010-04-21	29100	A
USGS	01184000	2010-04-22	25800	A
USGS	01184000	2010-04-23	23000	A
USGS	01184000	2010-04-24	19900	A
USGS	01184000	2010-04-25	19600	A
USGS	01184000	2010-04-26	19600	A
USGS	01184000	2010-04-27	20000	A
USGS	01184000	2010-04-28	17700	A
USGS	01184000	2010-04-29	18600	A
USGS	01184000	2010-04-30	19800	A
USGS	01184000	2010-05-01	23400	A
USGS	01184000	2010-05-02	23300	A
USGS	01184000	2010-05-03	20600	A
USGS	01184000	2010-05-04	20100	A
USGS	01184000	2010-05-05	19700	A
USGS	01184000	2010-05-06	18700	A
USGS	01184000	2010-05-07	17500	A
USGS	01184000	2010-05-08	18700	A
USGS	01184000	2010-05-09	23100	A
USGS	01184000	2010-05-10	30300	A
USGS	01184000	2010-05-11	27700	A
USGS	01184000	2010-05-12	22700	A
USGS	01184000	2010-05-13	20000	A
USGS	01184000	2010-05-14	16800	A
USGS	01184000	2010-05-15	15400	A
USGS	01184000	2010-05-16	14700	A
USGS	01184000	2010-05-17	13900	A
USGS	01184000	2010-05-18	13200	A
USGS	01184000	2010-05-19	13000	A
USGS	01184000	2010-05-20	11600	A
USGS	01184000	2010-05-21	14700	A
USGS	01184000	2010-05-22	13200	A
USGS	01184000	2010-05-23	11600	A
USGS	01184000	2010-05-24	11500	A
USGS	01184000	2010-05-25	7720	A
USGS	01184000	2010-05-26	7550	A
USGS	01184000	2010-05-27	9630	A
USGS	01184000	2010-05-28	9860	A
USGS	01184000	2010-05-29	6990	A
USGS	01184000	2010-05-30	7190	A
USGS	01184000	2010-05-31	7630	A
USGS	01184000	2010-06-01	7890	A
USGS	01184000	2010-06-02	7500	A
USGS	01184000	2010-06-03	6770	A
USGS	01184000	2010-06-04	6440	A
USGS	01184000	2010-06-05	6670	A
USGS	01184000	2010-06-06	7780	A
USGS	01184000	2010-06-07	14100	A
USGS	01184000	2010-06-08	18000	A
USGS	01184000	2010-06-09	18900	A
USGS	01184000	2010-06-10	17200	A
USGS	01184000	2010-06-11	12600	A
USGS	01184000	2010-06-12	12100	A
USGS	01184000	2010-06-13	14500	A
USGS	01184000	2010-06-14	14800	A
USGS	01184000	2010-06-15	12300	A
USGS	01184000	2010-06-16	10500	A
USGS	01184000	2010-06-17	8870	A
USGS	01184000	2010-06-18	7160	A
USGS	01184000	2010-06-19	8630	A
USGS	01184000	2010-06-20	9410	A
USGS	01184000	2010-06-21	8000	A
USGS	01184000	2010-06-22	8060	A
USGS	01184000	2010-06-23	8140	A
USGS	01184000	2010-06-24	10400	A
USGS	01184000	2010-06-25	10000	A
USGS	01184000	2010-06-26	7030	A
USGS	01184000	2010-06-27	7300	A
USGS	01184000	2010-06-28	7400	A
USGS	01184000	2010-06-29	12600	A
USGS	01184000	2010-06-30	15700	A
USGS	01184000	2010-07-01	11900	A
USGS	01184000	2010-07-02	8840	A
USGS	01184000	2010-07-03	6120	A
USGS	01184000	2010-07-04	5060	A
USGS	01184000	2010-07-05	5770	A
USGS	01184000	2010-07-06	7160	A
USGS	01184000	2010-07-07	7730	A
USGS	01184000	2010-07-08	5050	A
USGS	01184000	2010-07-09	4390	A
USGS	01184000	2010-07-10	5000	A
USGS	01184000	2010-07-11	5250	A
USGS	01184000	2010-07-12	6810	A
USGS	01184000	2010-07-13	6290	A
USGS	01184000	2010-07-14	4050	A
USGS	01184000	2010-07-15	4160	A
USGS	01184000	2010-07-16	7900	A
USGS	01184000	2010-07-17	6560	A
USGS	01184000	2010-07-18	5520	A
USGS	01184000	2010-07-19	5300	A
USGS	01184000	2010-07-20	5920	A
USGS	01184000	2010-07-21	4720	A
USGS	01184000	2010-07-22	6310	A
USGS	01184000	2010-07-23	9390	A
USGS	01184000	2010-07-24	12400	A
USGS	01184000	2010-07-25	10200	A
USGS	01184000	2010-07-26	9100	A
USGS	01184000	2010-07-27	7490	A
USGS	01184000	2010-07-28	6780	A
USGS	01184000	2010-07-29	5370	A
USGS	01184000	2010-07-30	4930	A
USGS	01184000	2010-07-31	4190	A
USGS	01184000	2010-08-01	4280	A
USGS	01184000	2010-08-02	3910	A
USGS	01184000	2010-08-03	4160	A
USGS	01184000	2010-08-04	4350	A
USGS	01184000	2010-08-05	9530	A
USGS	01184000	2010-08-06	15200	A
USGS	01184000	2010-08-07	15000	A
USGS	01184000	2010-08-08	11200	A
USGS	01184000	2010-08-09	10400	A
USGS	01184000	2010-08-10	7640	A
USGS	01184000	2010-08-11	4550	A
USGS	01184000	2010-08-12	6430	A
USGS	01184000	2010-08-13	4800	A
USGS	01184000	2010-08-14	4160	A
USGS	01184000	2010-08-15	3640	A
USGS	01184000	2010-08-16	4080	A
USGS	01184000	2010-08-17	4890	A
USGS	01184000	2010-08-18	5220	A
USGS	01184000	2010-08-19	3710	A
USGS	01184000	2010-08-20	3770	A
USGS	01184000	2010-08-21	3790	A
USGS	01184000	2010-08-22	4230	A
USGS	01184000	2010-08-23	5990	A
USGS	01184000	2010-08-24	5560	A
USGS	01184000	2010-08-25	7300	A
USGS	01184000	2010-08-26	6260	A
USGS	01184000	2010-08-27	4610	A
USGS	01184000	2010-08-28	4150	A
USGS	01184000	2010-08-29	4110	A
USGS	01184000	2010-08-30	3830	A
USGS	01184000	2010-08-31	5090	A
USGS	01184000	2010-09-01	6400	A
USGS	01184000	2010-09-02	5480	A
USGS	01184000	2010-09-03	3940	A
USGS	01184000	2010-09-04	2820	A
USGS	01184000	2010-09-05	2520	A
USGS	01184000	2010-09-06	2840	A
USGS	01184000	2010-09-07	2820	A
USGS	01184000	2010-09-08	3680	A
USGS	01184000	2010-09-09	2950	A
USGS	01184000	2010-09-10	2850	A
USGS	01184000	2010-09-11	2790	A
USGS	01184000	2010-09-12	2830	A
USGS	01184000	2010-09-13	2810	A
USGS	01184000	2010-09-14	3440	A
USGS	01184000	2010-09-15	3250	A
USGS	01184000	2010-09-16	3130	A
USGS	01184000	2010-09-17	3400	A
USGS	01184000	2010-09-18	5280	A
USGS	01184000	2010-09-19	4160	A
USGS	01184000	2010-09-20	4100	A
USGS	01184000	2010-09-21	3690	A
USGS	01184000	2010-09-22	3830	A
USGS	01184000	2010-09-23	2970	A
USGS	01184000	2010-09-24	2750	A
USGS	01184000	2010-09-25	2320	A
USGS	01184000	2010-09-26	2570	A
USGS	01184000	2010-09-27	3330	A
USGS	01184000	2010-09-28	3840	A
USGS	01184000	2010-09-29	6430	A
USGS	01184000	2010-09-30	10900	A
USGS	01184000	2010-10-01	22200	A
USGS	01184000	2010-10-02	46800	A
USGS	01184000	2010-10-03	58500	A
USGS	01184000	2010-10-04	53900	A
USGS	01184000	2010-10-05	43100	A
USGS	01184000	2010-10-06	31500	A
USGS	01184000	2010-10-07	21400	A
USGS	01184000	2010-10-08	19500	A
USGS	01184000	2010-10-09	20500	A
USGS	01184000	2010-10-10	16400	A
USGS	01184000	2010-10-11	13500	A
USGS	01184000	2010-10-12	13600	A
USGS	01184000	2010-10-13	12600	A
USGS	01184000	2010-10-14	11400	A
USGS	01184000	2010-10-15	13900	A
USGS	01184000	2010-10-16	38800	A
USGS	01184000	2010-10-17	54500	A
USGS	01184000	2010-10-18	42700	A
USGS	01184000	2010-10-19	29400	A
USGS	01184000	2010-10-20	20400	A
USGS	01184000	2010-10-21	21600	A
USGS	01184000	2010-10-22	18400	A
USGS	01184000	2010-10-23	15000	A
USGS	01184000	2010-10-24	14900	A
USGS	01184000	2010-10-25	15500	A
USGS	01184000	2010-10-26	16500	A
USGS	01184000	2010-10-27	21400	A
USGS	01184000	2010-10-28	31800	A
USGS	01184000	2010-10-29	33500	A
USGS	01184000	2010-10-30	26500	A
USGS	01184000	2010-10-31	23500	A
USGS	01184000	2010-11-01	20100	A
USGS	01184000	2010-11-02	18800	A
USGS	01184000	2010-11-03	17900	A
USGS	01184000	2010-11-04	15200	A
USGS	01184000	2010-11-05	20900	A
USGS	01184000	2010-11-06	34400	A
USGS	01184000	2010-11-07	35700	A
USGS	01184000	2010-11-08	30900	A
USGS	01184000	2010-11-09	26500	A
USGS	01184000	2010-11-10	24700	A
USGS	01184000	2010-11-11	24200	A
USGS	01184000	2010-11-12	21500	A
USGS	01184000	2010-11-13	22300	A
USGS	01184000	2010-11-14	19700	A
USGS	01184000	2010-11-15	16800	A
USGS	01184000	2010-11-16	17300	A
USGS	01184000	2010-11-17	19600	A
USGS	01184000	2010-11-18	26800	A
USGS	01184000	2010-11-19	29800	A
USGS	01184000	2010-11-20	23100	A
USGS	01184000	2010-11-21	21000	A
USGS	01184000	2010-11-22	19500	A
USGS	01184000	2010-11-23	17500	A
USGS	01184000	2010-11-24	16900	A
USGS	01184000	2010-11-25	17900	A
USGS	01184000	2010-11-26	17900	A
USGS	01184000	2010-11-27	17800	A
USGS	01184000	2010-11-28	16100	A
USGS	01184000	2010-11-29	17500	A
USGS	01184000	2010-11-30	16100	A
USGS	01184000	2010-12-01	17300	A
USGS	01184000	2010-12-02	38900	A
USGS	01184000	2010-12-03	50100	A
USGS	01184000	2010-12-04	43800	A
USGS	01184000	2010-12-05	31300	A
USGS	01184000	2010-12-06	26200	A
USGS	01184000	2010-12-07	22400	A
USGS	01184000	2010-12-08	21000	A
USGS	01184000	2010-12-09	19200	A
USGS	01184000	2010-12-10	17300	A
USGS	01184000	2010-12-11	14600	A
USGS	01184000	2010-12-12	14100	A
USGS	01184000	2010-12-13	40000	A
USGS	01184000	2010-12-14	64200	A
USGS	01184000	2010-12-15	61200	A
USGS	01184000	2010-12-16	38300	A
USGS	01184000	2010-12-17	30000	A
USGS	01184000	2010-12-18	24300	A
USGS	01184000	2010-12-19	21200	A
USGS	01184000	2010-12-20	19100	A
USGS	01184000	2010-12-21	17900	A
USGS	01184000	2010-12-22	17400	A
USGS	01184000	2010-12-23	16800	A
USGS	01184000	2010-12-24	17000	A
USGS	01184000	2010-12-25	15100	A
USGS	01184000	2010-12-26	14800	A
USGS	01184000	2010-12-27	13900	A
USGS	01184000	2010-12-28	12900	A
USGS	01184000	2010-12-29	12300	A
USGS	01184000	2010-12-30	14000	A
USGS	01184000	2010-12-31	14100	A
USGS	01184000	2011-01-01	13200	A
USGS	01184000	2011-01-02	11000	A
USGS	01184000	2011-01-03	14000	A
USGS	01184000	2011-01-04	17100	A
USGS	01184000	2011-01-05	17400	A
USGS	01184000	2011-01-06	16500	A
USGS	01184000	2011-01-07	16600	A
USGS	01184000	2011-01-08	15000	A
USGS	01184000	2011-01-09	10500	A
USGS	01184000	2011-01-10	11400	A
USGS	01184000	2011-01-11	9350	A
USGS	01184000	2011-01-12	13100	A
USGS	01184000	2011-01-13	13100	A
USGS	01184000	2011-01-14	13000	A
USGS	01184000	2011-01-15	13100	A
USGS	01184000	2011-01-16	12200	A
USGS	01184000	2011-01-17	11100	A
USGS	01184000	2011-01-18	8460	A
USGS	01184000	2011-01-19	12700	A
USGS	01184000	2011-01-20	9230	A
USGS	01184000	2011-01-21	10700	A
USGS	01184000	2011-01-22	10900	A
USGS	01184000	2011-01-23	10900	A
USGS	01184000	2011-01-24	10900	A
USGS	01184000	2011-01-25	11600	A
USGS	01184000	2011-01-26	11100	A
USGS	01184000	2011-01-27	9660	A
USGS	01184000	2011-01-28	8630	A
USGS	01184000	2011-01-29	9050	A
USGS	01184000	2011-01-30	8500	A
USGS	01184000	2011-01-31	9610	A
USGS	01184000	2011-02-01	9910	A
USGS	01184000	2011-02-02	10400	A
USGS	01184000	2011-02-03	9620	A
USGS	01184000	2011-02-04	9830	A
USGS	01184000	2011-02-05	9980	A
USGS	01184000	2011-02-06	8960	A
USGS	01184000	2011-02-07	8820	A
USGS	01184000	2011-02-08	9490	A
USGS	01184000	2011-02-09	12600	A
USGS	01184000	2011-02-10	10600	A
USGS	01184000	2011-02-11	10500	A
USGS	01184000	2011-02-12	8190	A
USGS	01184000	2011-02-13	8270	A
USGS	01184000	2011-02-14	7080	A
USGS	01184000	2011-02-15	9380	A
USGS	01184000	2011-02-16	9810	A
USGS	01184000	2011-02-17	9240	A
USGS	01184000	2011-02-18	7390	A
USGS	01184000	2011-02-19	10100	A
USGS	01184000	2011-02-20	12300	A
USGS	01184000	2011-02-21	12100	A
USGS	01184000	2011-02-22	12900	A
USGS	01184000	2011-02-23	13000	A
USGS	01184000	2011-02-24	13400	A
USGS	01184000	2011-02-25	14300	A
USGS	01184000	2011-02-26	14200	A
USGS	01184000	2011-02-27	11400	A
USGS	01184000	2011-02-28	11300	A
USGS	01184000	2011-03-01	14400	A
USGS	01184000	2011-03-02	11800	A
USGS	01184000	2011-03-03	10000	A
USGS	01184000	2011-03-04	11400	A
USGS	01184000	2011-03-05	11300	A
USGS	01184000	2011-03-06	12400	A
USGS	01184000	2011-03-07	53100	A
USGS	01184000	2011-03-08	78300	A
USGS	01184000	2011-03-09	63400	A
USGS	01184000	2011-03-10	51900	A
USGS	01184000	2011-03-11	50100	A
USGS	01184000	2011-03-12	66800	A
USGS	01184000	2011-03-13	70500	A
USGS	01184000	2011-03-14	63600	A
USGS	01184000	2011-03-15	54100	A
USGS	01184000	2011-03-16	47200	A
USGS	01184000	2011-03-17	50400	A
USGS	01184000	2011-03-18	50600	A
USGS	01184000	2011-03-19	65700	A
USGS	01184000	2011-03-20	71800	A
USGS	01184000	2011-03-21	65500	A
USGS	01184000	2011-03-22	52800	A
USGS	01184000	2011-03-23	44800	A
USGS	01184000	2011-03-24	38800	A
USGS	01184000	2011-03-25	33400	A
USGS	01184000	2011-03-26	29800	A
USGS	01184000	2011-03-27	29700	A
USGS	01184000	2011-03-28	27400	A
USGS	01184000	2011-03-29	24900	A
USGS	01184000	2011-03-30	21700	A
USGS	01184000	2011-03-31	22500	A
USGS	01184000	2011-04-01	22400	A
USGS	01184000	2011-04-02	24100	A
USGS	01184000	2011-04-03	22700	A
USGS	01184000	2011-04-04	23000	A
USGS	01184000	2011-04-05	30400	A
USGS	01184000	2011-04-06	36000	A
USGS	01184000	2011-04-07	40000	A
USGS	01184000	2011-04-08	36400	A
USGS	01184000	2011-04-09	35100	A
USGS	01184000	2011-04-10	34900	A
USGS	01184000	2011-04-11	41100	A
USGS	01184000	2011-04-12	64200	A
USGS	01184000	2011-04-13	82300	A
USGS	01184000	2011-04-14	87200	A
USGS	01184000	2011-04-15	77100	A
USGS	01184000	2011-04-16	75700	A
USGS	01184000	2011-04-17	85400	A
USGS	01184000	2011-04-18	87200	A
USGS	01184000	2011-04-19	79100	A
USGS	01184000	2011-04-20	69600	A
USGS	01184000	2011-04-21	61700	A
USGS	01184000	2011-04-22	57700	A
USGS	01184000	2011-04-23	53900	A
USGS	01184000	2011-04-24	51400	A
USGS	01184000	2011-04-25	48200	A
USGS	01184000	2011-04-26	49000	A
USGS	01184000	2011-04-27	59900	A
USGS	01184000	2011-04-28	68000	A
USGS	01184000	2011-04-29	69100	A
USGS	01184000	2011-04-30	73800	A
USGS	01184000	2011-05-01	71200	A
USGS	01184000	2011-05-02	66000	A
USGS	01184000	2011-05-03	57700	A
USGS	01184000	2011-05-04	44400	A
USGS	01184000	2011-05-05	38000	A
USGS	01184000	2011-05-06	39800	A
USGS	01184000	2011-05-07	41200	A
USGS	01184000	2011-05-08	36300	A
USGS	01184000	2011-05-09	30800	A
USGS	01184000	2011-05-10	26900	A
USGS	01184000	2011-05-11	26000	A
USGS	01184000	2011-05-12	22600	A
USGS	01184000	2011-05-13	21600	A
USGS	01184000	2011-05-14	20300	A
USGS	01184000	2011-05-15	19100	A
USGS	01184000	2011-05-16	26900	A
USGS	01184000	2011-05-17	45000	A
USGS	01184000	2011-05-18	53200	A
USGS	01184000	2011-05-19	56800	A
USGS	01184000	2011-05-20	56900	A
USGS	01184000	2011-05-21	52100	A
USGS	01184000	2011-05-22	47900	A
USGS	01184000	2011-05-23	41800	A
USGS	01184000	2011-05-24	34200	A
USGS	01184000	2011-05-25	30100	A
USGS	01184000	2011-05-26	28300	A
USGS	01184000	2011-05-27	24900	A
USGS	01184000	2011-05-28	30600	A
USGS	01184000	2011-05-29	40000	A
USGS	01184000	2011-05-30	44100	A
USGS	01184000	2011-05-31	40000	A
USGS	01184000	2011-06-01	37700	A
USGS	01184000	2011-06-02	35600	A
USGS	01184000	2011-06-03	23500	A
USGS	01184000	2011-06-04	19100	A
USGS	01184000	2011-06-05	17500	A
USGS	01184000	2011-06-06	13700	A
USGS	01184000	2011-06-07	14300	A
USGS	01184000	2011-06-08	12900	A
USGS	01184000	2011-06-09	12500	A
USGS	01184000	2011-06-10	12200	A
USGS	01184000	2011-06-11	15400	A
USGS	01184000	2011-06-12	18800	A
USGS	01184000	2011-06-13	20600	A
USGS	01184000	2011-06-14	20800	A
USGS	01184000	2011-06-15	22300	A
USGS	01184000	2011-06-16	24800	A
USGS	01184000	2011-06-17	20000	A
USGS	01184000	2011-06-18	14600	A
USGS	01184000	2011-06-19	13700	A
USGS	01184000	2011-06-20	13100	A
USGS	01184000	2011-06-21	12000	A
USGS	01184000	2011-06-22	12700	A
USGS	01184000	2011-06-23	18800	A
USGS	01184000	2011-06-24	32000	A
USGS	01184000	2011-06-25	35200	A
USGS	01184000	2011-06-26	33800	A
USGS	01184000	2011-06-27	30100	A
USGS	01184000	2011-06-28	24300	A
USGS	01184000	2011-06-29	23100	A
USGS	01184000	2011-06-30	19700	A
USGS	01184000	2011-07-01	16000	A
USGS	01184000	2011-07-02	11900	A
USGS	01184000	2011-07-03	9830	A
USGS	01184000	2011-07-04	11400	A
USGS	01184000	2011-07-05	11400	A
USGS	01184000	2011-07-06	11800	A
USGS	01184000	2011-07-07	10600	A
USGS	01184000	2011-07-08	10000	A
USGS	01184000	2011-07-09	10600	A
USGS	01184000	2011-07-10	7980	A
USGS	01184000	2011-07-11	7680	A
USGS	01184000	2011-07-12	13000	A
USGS	01184000	2011-07-13	9290	A
USGS	01184000	2011-07-14	4990	A
USGS	01184000	2011-07-15	5240	A
USGS	01184000	2011-07-16	5490	A
USGS	01184000	2011-07-17	5460	A
USGS	01184000	2011-07-18	6920	A
USGS	01184000	2011-07-19	6160	A
USGS	01184000	2011-07-20	5780	A
USGS	01184000	2011-07-21	5500	A
USGS	01184000	2011-07-22	7960	A
USGS	01184000	2011-07-23	8450	A
USGS	01184000	2011-07-24	5160	A
USGS	01184000	2011-07-25	3830	A
USGS	01184000	2011-07-26	3880	A
USGS	01184000	2011-07-27	4590	A
USGS	01184000	2011-07-28	4640	A
USGS	01184000	2011-07-29	4190	A
USGS	01184000	2011-07-30	5730	A
USGS	01184000	2011-07-31	6370	A
USGS	01184000	2011-08-01	6820	A
USGS	01184000	2011-08-02	8300	A
USGS	01184000	2011-08-03	4990	A
USGS	01184000	2011-08-04	3350	A
USGS	01184000	2011-08-05	3630	A
USGS	01184000	2011-08-06	5210	A
USGS	01184000	2011-08-07	5810	A
USGS	01184000	2011-08-08	4420	A
USGS	01184000	2011-08-09	6260	A
USGS	01184000	2011-08-10	4730	A
USGS	01184000	2011-08-11	4770	A
USGS	01184000	2011-08-12	6610	A
USGS	01184000	2011-08-13	5120	A
USGS	01184000	2011-08-14	4410	A
USGS	01184000	2011-08-15	6490	A
USGS	01184000	2011-08-16	16300	A
USGS	01184000	2011-08-17	25900	A
